"n1","n2","Welch","EV_test","VREPB","DVEPB","B_F"
3,3,0.06008,0.25836,0.23828,0.48232,0
3,4,0.19014,0.40592,0.35292,0.5044,0.00028
3,5,0.24624,0.49176,0.40184,0.4982,0.00084
3,6,0.27002,0.54544,0.43852,0.51348,0.00176
3,7,0.29008,0.58384,0.4568,0.51984,0.00152
3,8,0.29166,0.6086,0.47888,0.52204,0.001
3,9,0.30192,0.63188,0.48764,0.52708,0.00164
3,10,0.29692,0.6472,0,0,0
3,11,0.29522,0.6564,0,0,0
3,12,0.29396,0.67,0,0,0
4,4,0.37264,0.476,0,0.55748,0
4,5,0.42006,0.53368,0,0.56972,0
4,6,0.44428,0.57848,0,0.57988,0
4,7,0.45814,0.60844,0,0.5836,0
4,8,0.46454,0.63364,0,0.58776,0
4,9,0.47204,0.6622,0,0.5974,0
4,10,0.46892,0.67352,0,0.59016,0
4,11,0.4712,0.68568,0,0,0
4,12,0.4724,0.69512,0,0,0
4,13,0.46936,0.70196,0,0,0
5,5,0.52496,0.5758,0.56508,0.61036,0.40172
5,6,0.5419,0.6034,0.57728,0.6198,0.44824
5,7,0.55486,0.62988,0.59388,0.62876,0.47284
5,8,0.56462,0.65444,0.6094,0.62856,0.48016
5,9,0.57496,0.67828,0.6142,0.63268,0.49404
5,10,0.57594,0.68488,0.62052,0.64148,0.49788
5,11,0.5781,0.6968,0.6282,0.63876,0.50148
5,12,0.58002,0.70628,0,0,0
5,13,0.58338,0.71588,0,0,0
5,14,0.58154,0.725,0,0,0
6,6,0.59738,0.6248,0,0.65044,0
6,7,0.60958,0.64876,0,0.65276,0
6,8,0.62544,0.6746,0,0.6642,0
6,9,0.6277,0.68504,0,0.66756,0
6,10,0.63826,0.70276,0,0.66604,0
6,11,0.64226,0.71732,0,0.6712,0
6,12,0.64428,0.72548,0,0.67484,0
6,13,0.64358,0.73088,0,0,0
6,14,0.64186,0.73488,0,0,0
6,15,0.64524,0.74112,0,0,0
7,7,0.64758,0.66784,0,0.67616,0.60444
7,8,0.65936,0.68572,0,0.68628,0.61992
7,9,0.66418,0.69948,0,0.6892,0.62208
7,10,0.66902,0.711,0,0.69472,0.637
7,11,0.67142,0.71708,0,0.6956,0.64264
7,12,0.67492,0.72384,0,0.69852,0.64612
7,13,0.68148,0.73948,0,0.70596,0.64516
7,14,0.68138,0.74624,0,0,0
7,15,0.68458,0.75024,0,0,0
7,16,0.68712,0.75908,0,0,0
8,8,0.68026,0.69348,0,0.7006,0
8,9,0.68748,0.70896,0,0.70412,0
8,10,0.69518,0.72504,0,0.71168,0
8,11,0.70016,0.73544,0,0.71836,0
8,12,0.70556,0.74356,0,0,0
8,13,0.71014,0.75224,0,0,0
8,14,0.71384,0.75836,0,0,0
8,15,0.71394,0.76344,0,0,0
8,16,0.7135,0.76484,0,0,0
8,17,0.71434,0.77128,0,0,0
9,9,0.71014,0.72232,0,0,0
9,10,0.71402,0.73028,0,0,0
9,11,0.7164,0.73844,0,0,0
9,12,0.72064,0.74508,0,0,0
9,13,0.7242,0.75136,0,0,0
9,14,0.72864,0.75712,0,0,0
9,15,0.7313,0.76144,0,0,0
9,16,0.73418,0.76732,0,0,0
9,17,0.73614,0.77408,0,0,0
9,18,0.73692,0.7772,0,0,0
